Energy (MeV),Co60 Counts,Co60 Normalized,Cs137 Counts,Cs137 Normalized,Na22 Counts,Na22 Normalized
1.0171,0.000103721,0.001007665254731279,0.0,0.0,6.79989e-05,0.0007778672593806018
1.0191,0.000101962,0.0009905763028018497,0.0,0.0,6.84615e-05,0.000783159130193063
1.021,0.000103073,0.0010013698363968446,0.0,0.0,6.92633e-05,0.0007923312486916175
1.023,0.000101633,0.000987380017875879,0.0,0.0,6.78961e-05,0.0007766912880889437
1.0249,0.000100491,0.0009762853145766137,0.0,0.0,7.10622e-05,0.0008129096023546882
1.0269,0.000101458,0.000985679866319512,0.0,0.0,7.01268e-05,0.0008022091787533561
1.0288,0.000101129,0.0009824835813935413,0.0,0.0,7.0538e-05,0.0008069130639199881
1.0308,0.000100944,0.0009806862783196674,0.0,0.0,7.15351e-05,0.0008183192990845042
1.0327,9.95761e-05,0.0009673969222399254,0.0,0.0,6.99418e-05,0.0008000928880047497
1.0347,9.85168e-05,0.0009571056619904404,0.0,0.0,6.86774e-05,0.0007856288986937338
1.0367,0.00010007,0.0009721952356895815,0.0,0.0,7.03941e-05,0.000805266932899856
1.0386,0.000100183,0.0009732930478374073,0.0,0.0,6.89858e-05,0.000789156812568708
1.0406,9.79923e-05,0.0009520100648972138,0.0,0.0,6.98595e-05,0.0007991514246068562
1.0425,9.72312e-05,0.0009446158628997785,0.0,0.0,6.97156e-05,0.0007975052935867238
1.0445,9.91236e-05,0.000963000816072747,0.0,0.0,6.98081e-05,0.0007985634389610271
1.0464,9.95555e-05,0.0009671967901138616,0.0,0.0,6.87905e-05,0.0007869226959027468
1.0484,0.000101006,0.000981288617728209,0.0,0.0,6.84615e-05,0.000783159130193063
1.0503,9.86813e-05,0.0009587038044534256,0.0,0.0,6.58814e-05,0.0007536443098661475
1.0523,0.000100275,0.0009741868417984689,0.0,0.0,6.47917e-05,0.0007411787853863833
1.0542,9.92058e-05,0.0009637994015466521,0.0,0.0,6.23863e-05,0.0007136624298907194
1.0562,9.94115e-05,0.000965797808261765,0.0,0.0,6.1677e-05,0.0007055484567664679
1.0581,0.000100255,0.0009739925387634555,0.0,0.0,5.81203e-05,0.0006648619091688011
1.0601,0.000100224,0.0009736913690591847,0.0,0.0,5.75241e-05,0.0006580417332535625
